PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
28;079;16;83;28079016_83_98;2022;01;11;V;10.1;V;10.1;V;7.9;V;6.3;V;4.8;V;5.9;V;4.3;V;8.3;V;11.9;V;11.2;V;8.3;V;5.4;V;4.5;V;4.5;V;4.6;V;5.8;V;6.4;V;6.8;V;7.5;V;5.6;V;5.4;V;5.9;V;6.7;V;8;V;6.3;V;7.9;V;8.2;V;8.7;V;9.4;V;9;V
28;079;16;83;28079016_83_98;2022;02;10.7;V;12.1;V;10.6;V;10.5;V;10.5;V;8.9;V;10.4;V;10.8;V;10.1;V;10.1;V;11.4;V;11;V;10.1;V;8.5;V;8.3;V;10;V;11.1;V;12.4;V;10;V;9;V;11.9;V;13.1;V;12.1;V;11.3;V;8.8;V;8.3;V;10.9;V;11.8;V;00000;N;00000;N;00000;N
28;079;16;86;28079016_86_98;2022;01;60;V;65;V;75;V;85;V;76;V;80;V;67;V;76;V;76;V;72;V;67;V;57;V;60;V;64;V;62;V;67;V;61;V;53;V;44;V;53;V;59;V;57;V;69;V;65;V;62;V;66;V;53;V;37;V;31;V;30;V;35;V
28;079;16;86;28079016_86_98;2022;02;53;V;56;V;54;V;64;V;58;V;44;V;43;V;50;V;55;V;56;V;59;V;57;V;67;V;62;V;56;V;60;V;67;V;63;V;55;V;51;V;48;V;27;V;35;V;42;V;75;V;84;V;70;V;64;V;00000;N;00000;N;00000;N
28;079;18;83;28079018_83_98;2022;01;9.3;V;8.7;V;9.1;V;7.2;V;7.4;V;5.2;V;5.9;V;3.7;V;9.8;V;13.1;V;10.5;V;7.4;V;4.8;V;3.9;V;3.6;V;3.9;V;4.6;V;5.1;V;0.7;V;-0.7;V;-1.8;V;-1.6;V;-1.5;V;-0.6;V;1.1;V;-1;V;-0.4;V;-0.6;V;-0.4;V;0.1;V;0.4;V
28;079;18;83;28079018_83_98;2022;02;3.1;V;2.9;V;1.9;V;2.2;V;2.7;V;1.1;V;1.6;V;2.7;V;1.3;V;1.4;V;2.7;V;2.5;V;2.1;V;1.7;V;1.1;V;2.7;V;2.7;V;3.4;V;2.3;V;0.8;V;3.1;V;4.9;V;3.2;V;2.7;V;1.7;V;1.4;V;2.6;V;3.5;V;00000;N;00000;N;00000;N
28;079;24;81;28079024_81_98;2022;01;0.54;V;0.63;V;0.78;V;1.69;V;1.79;V;0.83;V;0.9;V;1.05;V;2.28;V;1.59;V;0.78;V;1.01;V;0.78;V;0.82;V;0.71;V;0.66;V;0.62;V;0.6;V;0.68;V;0.58;V;0.82;V;0.71;V;0.71;V;0.85;V;0.98;V;0.92;V;0.81;V;0.81;V;0.76;V;0.7;V;1.02;V
28;079;24;81;28079024_81_98;2022;02;2.09;V;0.79;V;0.89;V;0.73;V;1.45;V;0.87;V;0.9;V;0.99;V;0.91;V;0.65;V;0.7;V;0.81;V;2.14;V;1.92;V;1.32;V;1.43;V;0.8;V;0.89;V;1.53;V;0.74;V;0.97;V;1.03;V;0.72;V;0.73;V;1.06;V;1.4;V;1.02;V;1.03;V;00000;N;00000;N;00000;N
28;079;24;82;28079024_82_98;2022;01;8;V;31;V;4;V;0;V;272;V;76;V;2;V;12;V;225;V;1;V;0;V;4;V;15;V;8;V;8;V;21;V;4;V;35;V;11;V;7;V;5;V;1;V;3;V;1;V;0;V;8;V;3;V;18;V;6;V;6;V;5;V
28;079;24;82;28079024_82_98;2022;02;9;V;20;V;3;V;12;V;3;V;62;V;4;V;1;V;3;V;14;V;0;V;5;V;1;V;287;V;279;V;235;V;18;V;0;V;1;V;10;V;1;V;9;V;18;V;59;V;1;V;32;V;69;V;8;V;00000;N;00000;N;00000;N
28;079;24;83;28079024_83_98;2022;01;8.2;V;7.5;V;7.7;V;5.4;V;5.9;V;3.6;V;4.1;V;2.1;V;9;V;12.2;V;8.8;V;5.5;V;3.4;V;2.1;V;2.4;V;2.4;V;3.2;V;3.6;V;3.5;V;0.4;V;1.5;V;4.2;V;3.7;V;5.5;V;7.5;V;4.7;V;5.5;V;5.3;V;5.4;V;5.9;V;6.3;V
28;079;24;83;28079024_83_98;2022;02;10.5;V;9.6;V;7.9;V;8.6;V;9.3;V;7.5;V;7.7;V;9.5;V;7.4;V;7.5;V;9.3;V;8.5;V;7.9;V;7.5;V;6.9;V;9.2;V;9.3;V;10.1;V;9.4;V;6.9;V;9.6;V;11.8;V;9.8;V;9;V;8.5;V;8.4;V;10;V;10.2;V;00000;N;00000;N;00000;N
